text,sentiment
Saya menyukai produk ini, Positive
Ini adalah film yang mengerikan, Negative
Saya sangat bahagia hari ini, Positive
Saya merasa sedih, Negative
Makanannya lezat, Positive
Saya benci layanan ini, Negative
Saya sangat bersemangat, Positive
Saya kecewa, Negative
Ini adalah hal terbaik yang pernah ada, Positive
Saya sangat marah, Negative
Saya jatuh cinta, Positive
Ini adalah ide yang hebat, Positive
Layanan ini lambat, Negative
Saya sangat bangga, Positive
Ini adalah hal yang sangat mengerikan, Negative
Saya sangat puas, Positive
Saya terpesona, Positive
Cuaca sangat bagus hari ini!, Positive
Saya merasa sangat bahagia sekarang, Positive
Lalu lintas sangat buruk, Negative
Film ini luar biasa!, Positive
Makanan lezat di restoran, Positive
Layanan ini mengecewakan, Negative
Saya tidak tahan dengan panas ini, Negative
Berita yang mengasyikkan!, Positive
Pertemuan berjalan dengan baik, Positive
Kuliah yang sangat membosankan, Negative
Saya jatuh cinta dengan lagu ini, Positive
Waktu tunggu sangat tidak masuk akal, Negative
Matahari terbenam itu indah, Positive
Pengalaman yang tidak menyenangkan di toko, Negative
Petualangan yang mendebarkan!, Positive
Produk ini tidak sesuai harapan, Negative
Hari terbaik sepanjang masa!, Positive
Saya sangat kesal sekarang, Negative
Penampilan yang fantastis!, Positive
Ujian itu menantang, Negative
Karya seni yang indah, Positive
Saya benci menunggu, Negative
Hanya getaran positif!, Positive
Cuaca yang mengerikan hari ini, Negative
Penemuan yang luar biasa!, Positive
Layanan ini sangat baik, Positive
Saya tidak terkesan, Negative
Kesempatan yang menarik, Positive
Hasil yang mengecewakan, Negative
Saya menyukai pembaruan baru ini, Positive
Presentasinya membosankan, Negative
Kejutan yang menyenangkan!, Positive
Lalu lintas lancar, Positive
Saya sangat frustrasi, Negative
Pemandangannya menakjubkan, Positive
Percakapan yang tidak menarik, Negative
Buku yang fantastis!, Positive
Saya tidak percaya ini terjadi, Negative
Penampilan yang menakjubkan!, Positive
Saya merasa down, Negative
Perubahan yang tak terduga, Positive
Layanan ini kurang memuaskan, Negative
Waktu yang menarik di depan!, Positive
Hari hujan yang suram, Negative
Permainan yang fantastis!, Positive
Waktu tunggu yang tidak tertahankan, Negative
Konser itu mengecewakan, Negative
Saya sangat senang!, Positive
Pengalaman yang mengerikan, Negative
Berita yang luar biasa!, Positive
Makanan itu tidak enak, Negative
Respon yang antusias, Positive
Pencapaian yang hebat!, Positive
Saya frustrasi dengan situasi ini, Negative
Film itu mengecewakan, Negative
Hari yang indah di luar, Positive
Situasi yang menjengkelkan, Negative
Layanan ini melebihi harapan saya, Positive
Hasil yang fantastis!, Positive
Lalu lintas mengalir dengan lancar, Positive
Saya kesal tentang itu, Negative
Presentasinya kurang menarik, Negative
Pesta yang luar biasa!, Positive
Cuaca mendung, Negative
Pengalaman hebat di museum, Positive
Saya sangat ecstatis!, Positive
Pertemuan itu tidak produktif, Negative
Penampilan yang luar biasa!, Positive
Layanan ini sangat buruk, Negative
Waktu yang menarik!, Positive
Saya sangat bangga dengan pencapaian ini, Positive
Film ini membuat saya merasa kecewa, Negative
Suasana di sini sangat menyenangkan, Positive
Saya tidak suka cuaca hari ini, Negative
Makanan ini benar-benar memuaskan, Positive
Pengalaman belanja saya sangat buruk, Negative
Saya merasa sangat beruntung, Positive
Ini adalah hari yang sangat menyedihkan, Negative
Karya seni ini luar biasa, Positive
Saya merasa terjebak dalam rutinitas, Negative
Musiknya membawa kebahagiaan, Positive
Ini adalah produk yang mengecewakan, Negative
Saya sangat antusias dengan acara ini, Positive
Layanan pelanggan sangat mengecewakan, Negative
Akhir pekan ini sangat menyenangkan, Positive
Saya merasa tidak nyaman di sini, Negative
Ini adalah pengalaman yang sangat berharga, Positive
Saya tidak menyukai film tersebut, Negative
Pemandangan di sini sungguh menakjubkan, Positive
Pertemuan ini sangat membosankan, Negative
Saya merasa sangat bersemangat, Positive
Ini adalah kesalahan besar, Negative
Hari ini adalah hari terbaik dalam hidup saya, Positive
Saya merasa sangat lelah dan stres, Negative
Kegiatan ini sangat menginspirasi, Positive
Saya tidak suka makanan ini sama sekali, Negative
Saya merasa sangat bersemangat untuk masa depan, Positive
Ini adalah berita yang sangat buruk, Negative
Perayaan ini sangat meriah, Positive
Saya tidak puas dengan hasilnya, Negative
Saya sangat berterima kasih atas dukungan ini, Positive
Rasa frustrasi ini sulit untuk diatasi, Negative
Kegiatan ini penuh dengan kegembiraan, Positive
Saya merasa sangat kecewa dengan kinerja mereka, Negative
Saya tidak sabar untuk berlibur, Positive
Proyek ini ternyata sangat sulit, Negative
Lingkungan di sini sangat nyaman, Positive
Saya merasa sangat tertekan dengan pekerjaan ini, Negative
Acara ini sangat mengesankan, Positive
Saya tidak bisa percaya apa yang terjadi, Negative
Saya merasa terinspirasi setelah mendengar ceramah itu, Positive
Ini adalah situasi yang sangat menyulitkan, Negative
Saya sangat menyukai desain baru ini, Positive
Pengalaman ini sangat mengecewakan, Negative
Saya sangat menghargai usaha kalian, Positive
Saya merasa terasing di keramaian ini, Negative
Ini adalah penemuan yang sangat menarik, Positive
Layanan ini membuat saya sangat frustrasi, Negative
Saya merasa sangat bersyukur atas hidup saya, Positive
Saya tidak bisa menikmati acara ini, Negative
Tempat ini jelek, Negative
